Region,Seed1,Seed2,ID,Team1,Team2,Probability
W,1,8,2025_1181_1280,Duke,Mississippi St,0.9376033525708732
W,4,5,2025_1112_1332,Arizona,Oregon,0.7184780006638718
W,6,3,2025_1140_1458,BYU,Wisconsin,0.3574972206269421
W,2,7,2025_1104_1388,Alabama,St Mary's CA,0.8583898031340987
X,8,1,2025_1211_1222,Gonzaga,Houston,0.1317029002798402
X,5,4,2025_1155_1345,Clemson,Purdue,0.5441105057641631
X,6,3,2025_1228_1246,Illinois,Kentucky,0.4847374019544868
X,2,7,2025_1397_1417,Tennessee,UCLA,0.8472740972115553
Y,1,8,2025_1120_1257,Auburn,Louisville,0.8717192519818541
Y,5,4,2025_1276_1401,Michigan,Texas A&M,0.4502327184119422
Y,3,6,2025_1235_1279,Iowa St,Mississippi,0.6639897940200078
Y,7,2,2025_1266_1277,Marquette,Michigan St,0.2095752367208088
Z,8,1,2025_1163_1196,Connecticut,Florida,0.0921641641405275
Z,12,4,2025_1161_1268,Colorado St,Maryland,0.2912140083529211
Z,11,3,2025_1179_1403,Drake,Texas Tech,0.1833743051366163
Z,7,2,2025_1242_1385,Kansas,St John's,0.235851197383741
