Region,Seed1,Seed2,ID,Team1,Team2,Probability
W,16,1,2025_1110_1181,American Univ,Duke,0.0261917240018501
W,9,8,2025_1124_1280,Baylor,Mississippi St,0.4236196321339519
W,12,5,2025_1251_1332,Liberty,Oregon,0.4667645243706342
W,13,4,2025_1103_1112,Akron,Arizona,0.2130761226901825
W,6,11,2025_1140_1433,BYU,VCU,0.5041850572542061
W,14,3,2025_1285_1458,Montana,Wisconsin,0.0411543511032545
W,7,10,2025_1388_1435,St Mary's CA,Vanderbilt,0.6446034507241378
W,2,15,2025_1104_1352,Alabama,Robert Morris,0.9265174125943642
X,16,1,2025_1188_1222,SIUE,Houston,0.0234878741933197
X,9,8,2025_1208_1211,Georgia,Gonzaga,0.3885602177256686
X,5,12,2025_1155_1270,Clemson,McNeese St,0.765667346643301
X,13,4,2025_1219_1345,High Point,Purdue,0.2572439720608995
X,6,11,2025_1228_1400,Illinois,Texas,0.4647841294935255
X,3,14,2025_1246_1407,Kentucky,Troy,0.9054750028203188
X,7,10,2025_1417_1429,UCLA,Utah St,0.4655438662045763
X,2,15,2025_1397_1459,Tennessee,Wofford,0.922470121543578
Y,16,1,2025_1106_1120,Alabama St,Auburn,0.018847559538642
Y,9,8,2025_1166_1257,Creighton,Louisville,0.4879905625938302
Y,5,12,2025_1276_1471,Michigan,UC San Diego,0.3211740696755914
Y,4,13,2025_1401_1463,Texas A&M,Yale,0.6720593405805264
Y,6,11,2025_1279_1314,Mississippi,North Carolina,0.3656288930472632
Y,3,14,2025_1235_1252,Iowa St,Lipscomb,0.8693296951033794
Y,7,10,2025_1266_1307,Marquette,New Mexico,0.5985744439964253
Y,15,2,2025_1136_1277,Bryant,Michigan St,0.0829835153377895
Z,1,16,2025_1196_1313,Florida,Norfolk St,0.9811140369675168
Z,8,9,2025_1163_1328,Connecticut,Oklahoma,0.6344738271728841
Z,12,5,2025_1161_1272,Colorado St,Memphis,0.5051166978528514
Z,13,4,2025_1213_1268,Grand Canyon,Maryland,0.1253747302816101
Z,11,6,2025_1179_1281,Drake,Missouri,1.0
Z,3,14,2025_1403_1423,Texas Tech,UNC Wilmington,0.9152491507870852
Z,10,7,2025_1116_1242,Arkansas,Kansas,0.1941965385185669
Z,15,2,2025_1303_1385,NE Omaha,St John's,0.076466953195554
