Region,Seed1,Seed2,ID,Team1,Team2,Probability
W,1,8,2025_1181_1280,Duke,Mississippi St,0.9613067815632974
W,4,5,2025_1112_1332,Arizona,Oregon,0.6906548717551074
W,6,3,2025_1140_1458,BYU,Wisconsin,0.2487964034630366
W,2,7,2025_1104_1388,Alabama,St Mary's CA,0.7614193308096912
X,8,1,2025_1211_1222,Gonzaga,Houston,0.1909800527984788
X,5,4,2025_1155_1345,Clemson,Purdue,0.6439785175560716
X,3,11,2025_1246_1400,Kentucky,Texas,0.6134578619181041
X,2,10,2025_1397_1429,Tennessee,Utah St,0.8708480224412571
Y,1,8,2025_1120_1257,Auburn,Louisville,0.8117196485923447
Y,4,12,2025_1401_1471,Texas A&M,UC San Diego,0.5153379003329894
Y,3,11,2025_1235_1314,Iowa St,North Carolina,0.7248647777451166
Y,7,2,2025_1266_1277,Marquette,Michigan St,0.1637837389162667
Z,8,1,2025_1163_1196,Connecticut,Florida,0.0891704791066299
Z,12,4,2025_1161_1268,Colorado St,Maryland,0.2584907170079256
Z,11,3,2025_1179_1403,Drake,Texas Tech,0.1801493735992847
Z,7,2,2025_1242_1385,Kansas,St John's,0.2645241751769967
