Region,Seed1,Seed2,ID,Team1,Team2,Probability
W,16,1,2025_1110_1181,American Univ,Duke,0.02651961
W,9,8,2025_1124_1280,Baylor,Mississippi St,0.43751436
W,12,5,2025_1251_1332,Liberty,Oregon,0.23191907
W,13,4,2025_1103_1112,Akron,Arizona,0.07462016
W,6,11,2025_1140_1433,BYU,VCU,0.7475609
W,14,3,2025_1285_1458,Montana,Wisconsin,0.048735775
W,7,10,2025_1388_1435,St Mary's CA,Vanderbilt,0.79509383
W,2,15,2025_1104_1352,Alabama,Robert Morris,0.9660492
X,16,1,2025_1188_1222,SIUE,Houston,0.03716863
X,9,8,2025_1208_1211,Georgia,Gonzaga,0.06274773
X,5,12,2025_1155_1270,Clemson,McNeese St,0.85725737
X,13,4,2025_1219_1345,High Point,Purdue,0.21703173
X,6,11,2025_1228_1400,Illinois,Texas,0.85148126
X,3,14,2025_1246_1407,Kentucky,Troy,0.956741
X,7,10,2025_1417_1429,UCLA,Utah St,0.3477272
X,2,15,2025_1397_1459,Tennessee,Wofford,0.9520416
Y,16,1,2025_1106_1120,Alabama St,Auburn,0.02651961
Y,9,8,2025_1166_1257,Creighton,Louisville,0.5247419
Y,5,12,2025_1276_1471,Michigan,UC San Diego,0.86490935
Y,4,13,2025_1401_1463,Texas A&M,Yale,0.32350984
Y,6,11,2025_1279_1314,Mississippi,North Carolina,0.22313114
Y,3,14,2025_1235_1252,Iowa St,Lipscomb,0.9101201
Y,7,10,2025_1266_1307,Marquette,New Mexico,0.44963813
Y,15,2,2025_1136_1277,Bryant,Michigan St,0.03729975
Z,1,16,2025_1196_1313,Florida,Norfolk St,0.9543378
Z,8,9,2025_1163_1328,Connecticut,Oklahoma,0.8802426
Z,12,5,2025_1161_1272,Colorado St,Memphis,0.55328923
Z,13,4,2025_1213_1268,Grand Canyon,Maryland,0.035304457
Z,11,6,2025_1179_1281,Drake,Missouri,1.0
Z,3,14,2025_1403_1423,Texas Tech,UNC Wilmington,0.95698106
Z,10,7,2025_1116_1242,Arkansas,Kansas,0.15050757
Z,15,2,2025_1303_1385,NE Omaha,St John's,0.05514337
