Region,Seed1,Seed2,ID,Team1,Team2,Probability
W,16,1,2025_1110_1181,American Univ,Duke,0.0139390622310674
W,9,8,2025_1124_1280,Baylor,Mississippi St,0.4782606179479781
W,12,5,2025_1251_1332,Liberty,Oregon,0.1596218709070171
W,13,4,2025_1103_1112,Akron,Arizona,0.0923000300479213
W,6,11,2025_1140_1433,BYU,VCU,0.781164089008393
W,14,3,2025_1285_1458,Montana,Wisconsin,0.0401180518325608
W,7,10,2025_1388_1435,St Mary's CA,Vanderbilt,0.6350949461980243
W,2,15,2025_1104_1352,Alabama,Robert Morris,0.9696125254988264
X,16,1,2025_1188_1222,SIUE,Houston,0.0168972575189891
X,9,8,2025_1208_1211,Georgia,Gonzaga,0.0833627631488728
X,5,12,2025_1155_1270,Clemson,McNeese St,0.7407447626268553
X,13,4,2025_1219_1345,High Point,Purdue,0.26407515241604
X,6,11,2025_1228_1400,Illinois,Texas,0.9187894042634344
X,3,14,2025_1246_1407,Kentucky,Troy,0.9500579729065028
X,7,10,2025_1417_1429,UCLA,Utah St,0.2508217277689839
X,2,15,2025_1397_1459,Tennessee,Wofford,0.942846542103158
Y,16,1,2025_1106_1120,Alabama St,Auburn,0.0241888663730539
Y,9,8,2025_1166_1257,Creighton,Louisville,0.3599048248891882
Y,5,12,2025_1276_1471,Michigan,UC San Diego,0.946724116873518
Y,4,13,2025_1401_1463,Texas A&M,Yale,0.3744366900345175
Y,6,11,2025_1279_1314,Mississippi,North Carolina,0.3201431284787847
Y,3,14,2025_1235_1252,Iowa St,Lipscomb,0.9229123323599604
Y,7,10,2025_1266_1307,Marquette,New Mexico,0.5738560552870199
Y,15,2,2025_1136_1277,Bryant,Michigan St,0.0791655477766412
Z,1,16,2025_1196_1313,Florida,Norfolk St,0.9365946814456172
Z,8,9,2025_1163_1328,Connecticut,Oklahoma,0.9047127168992084
Z,12,5,2025_1161_1272,Colorado St,Memphis,0.7527416036069682
Z,13,4,2025_1213_1268,Grand Canyon,Maryland,0.0218943602396657
Z,11,6,2025_1179_1281,Drake,Missouri,1.0
Z,3,14,2025_1403_1423,Texas Tech,UNC Wilmington,0.955999334361378
Z,10,7,2025_1116_1242,Arkansas,Kansas,0.1421798668475899
Z,15,2,2025_1303_1385,NE Omaha,St John's,0.1259899163101639
