Region,Seed1,Seed2,ID,Team1,Team2,Probability
W,1,8,2025_1181_1280,Duke,Mississippi St,0.9680893524831136
W,4,5,2025_1112_1332,Arizona,Oregon,0.8961082100782805
W,6,3,2025_1140_1458,BYU,Wisconsin,0.7571212892618764
W,2,7,2025_1104_1388,Alabama,St Mary's CA,0.9025563998662892
X,8,1,2025_1211_1222,Gonzaga,Houston,0.7269303071783735
X,5,4,2025_1155_1345,Clemson,Purdue,0.5433860716063286
X,6,3,2025_1228_1246,Illinois,Kentucky,0.347500536093389
X,2,10,2025_1397_1429,Tennessee,Utah St,0.607072976907681
Y,1,8,2025_1120_1257,Auburn,Louisville,0.9516593172468236
Y,5,13,2025_1276_1463,Michigan,Yale,0.5745244793098901
Y,3,11,2025_1235_1314,Iowa St,North Carolina,0.655286005349124
Y,7,2,2025_1266_1277,Marquette,Michigan St,0.1264890866380005
Z,8,1,2025_1163_1196,Connecticut,Florida,0.1613497189675956
Z,12,4,2025_1161_1268,Colorado St,Maryland,0.087861639223826
Z,11,3,2025_1179_1403,Drake,Texas Tech,0.0607352006074325
Z,7,2,2025_1242_1385,Kansas,St John's,0.8117094661575978
