Season,Seed,TeamID,TeamName,FirstD1Season,LastD1Season
2025,W01,1181,Duke,1985,2025
2025,W02,1104,Alabama,1985,2025
2025,W03,1458,Wisconsin,1985,2025
2025,W04,1112,Arizona,1985,2025
2025,W05,1332,Oregon,1985,2025
2025,W06,1140,BYU,1985,2025
2025,W07,1388,St Mary's CA,1985,2025
2025,W08,1280,Mississippi St,1985,2025
2025,W09,1124,Baylor,1985,2025
2025,W10,1435,Vanderbilt,1985,2025
2025,W11,1433,VCU,1985,2025
2025,W12,1251,Liberty,1989,2025
2025,W13,1103,Akron,1985,2025
2025,W14,1285,Montana,1985,2025
2025,W15,1352,Robert Morris,1985,2025
2025,W16a,1110,American Univ,1985,2025
2025,W16b,1291,Mt St Mary's,1989,2025
2025,X01,1222,Houston,1985,2025
2025,X02,1397,Tennessee,1985,2025
2025,X03,1246,Kentucky,1985,2025
2025,X04,1345,Purdue,1985,2025
2025,X05,1155,Clemson,1985,2025
2025,X06,1228,Illinois,1985,2025
2025,X07,1417,UCLA,1985,2025
2025,X08,1211,Gonzaga,1985,2025
2025,X09,1208,Georgia,1985,2025
2025,X10,1429,Utah St,1985,2025
2025,X11a,1400,Texas,1985,2025
2025,X11b,1462,Xavier,1985,2025
2025,X12,1270,McNeese St,1985,2025
2025,X13,1219,High Point,2000,2025
2025,X14,1407,Troy,1994,2025
2025,X15,1459,Wofford,1996,2025
2025,X16,1188,SIUE,2009,2025
2025,Y01,1120,Auburn,1985,2025
2025,Y02,1277,Michigan St,1985,2025
2025,Y03,1235,Iowa St,1985,2025
2025,Y04,1401,Texas A&M,1985,2025
2025,Y05,1276,Michigan,1985,2025
2025,Y06,1279,Mississippi,1985,2025
2025,Y07,1266,Marquette,1985,2025
2025,Y08,1257,Louisville,1985,2025
2025,Y09,1166,Creighton,1985,2025
2025,Y10,1307,New Mexico,1985,2025
2025,Y11a,1314,North Carolina,1985,2025
2025,Y11b,1361,San Diego St,1985,2025
2025,Y12,1471,UC San Diego,2021,2025
2025,Y13,1463,Yale,1985,2025
2025,Y14,1252,Lipscomb,2003,2025
2025,Y15,1136,Bryant,2009,2025
2025,Y16a,1106,Alabama St,1985,2025
2025,Y16b,1384,St Francis PA,1985,2025
2025,Z01,1196,Florida,1985,2025
2025,Z02,1385,St John's,1985,2025
2025,Z03,1403,Texas Tech,1985,2025
2025,Z04,1268,Maryland,1985,2025
2025,Z05,1272,Memphis,1985,2025
2025,Z06,1281,Missouri,1985,2025
2025,Z07,1242,Kansas,1985,2025
2025,Z08,1163,Connecticut,1985,2025
2025,Z09,1328,Oklahoma,1985,2025
2025,Z10,1116,Arkansas,1985,2025
2025,Z11,1179,Drake,1985,2025
2025,Z12,1161,Colorado St,1985,2025
2025,Z13,1213,Grand Canyon,2014,2025
2025,Z14,1423,UNC Wilmington,1985,2025
2025,Z15,1303,NE Omaha,2012,2025
2025,Z16,1313,Norfolk St,1998,2025
