Region,Seed1,Seed2,ID,Team1,Team2,Probability
W,1,8,2025_1181_1280,Duke,Mississippi St,0.9612105
W,4,5,2025_1112_1332,Arizona,Oregon,0.9022078
W,6,3,2025_1140_1458,BYU,Wisconsin,0.72436595
W,2,7,2025_1104_1388,Alabama,St Mary's CA,0.8918609
X,8,1,2025_1211_1222,Gonzaga,Houston,0.77721065
X,5,4,2025_1155_1345,Clemson,Purdue,0.4361125
X,6,3,2025_1228_1246,Illinois,Kentucky,0.46934107
X,2,10,2025_1397_1429,Tennessee,Utah St,0.8191305
Y,1,9,2025_1120_1166,Auburn,Creighton,0.92877173
Y,5,13,2025_1276_1463,Michigan,Yale,0.5588723
Y,3,11,2025_1235_1314,Iowa St,North Carolina,0.716029
Y,2,10,2025_1277_1307,Michigan St,New Mexico,0.8803006
Z,8,1,2025_1163_1196,Connecticut,Florida,0.19981672
Z,12,4,2025_1161_1268,Colorado St,Maryland,0.15251668
Z,11,3,2025_1179_1403,Drake,Texas Tech,0.05453904
Z,7,2,2025_1242_1385,Kansas,St John's,0.66835886
